"","color","names","degree"
"1","#DFB4FA","Acremonium",0
"2","#CE8CF7","Acremonium",0
"3","#A936F1","Alatospora",0
"4","#D296F7","Alogomyces",20
"5","#FAF4FE","Alternaria",3
"6","#F3E4FD","Ambispora",2
"7","#E6C4FB","Anguillospora",0
"8","#E0B6FA","Angustimassarina",4
"9","#B34EF3","Antrodiella",1
"10","#F3E4FD","Apiotrichum",1
"11","#BD65F4","Arachnopeziza",0
"12","#BD64F4","Arachnopeziza",0
"13","#CC88F7","Arachnopeziza",2
"14","#A020F0","Archaeorhizomyces",1
"15","#B95BF4","Archaeorhizomyces",0
"16","#C87FF6","Archaeorhizomyces",0
"17","#E2BBFA","Archaeorhizomyces",2
"18","#E9CBFB","Archaeorhizomyces",3
"19","#D49AF8","Archaeorhizomyces",0
"20","#E6C4FB","Archaeorhizomyces",0
"21","#A833F1","Archaeorhizomyces",3
"22","#BA5DF4","Archaeorhizomyces",0
"23","#DBACF9","Archaeorhizomyces",0
"24","#EFDBFC","Archaeorhizomyces",1
"25","#B34DF3","Archaeorhizomyces",0
"26","#BA5DF4","Archaeorhizomyces",4
"27","#BC63F4","Archaeorhizomyces",0
"28","#B756F3","Archaeorhizomyces",2
"29","#F3E4FD","Archaeorhizomyces",0
"30","#A124F0","Archaeorhizomyces",3
"31","#A731F1","Archaeorhizomyces",8
"32","#B858F3","Archaeorhizomyces",6
"33","#C270F5","Archaeorhizomyces",7
"34","#CC87F6","Archaeorhizomyces",0
"35","#AA39F1","Archaeorhizomyces",4
"36","#B552F3","Archaeorhizomyces",0
"37","#B655F3","Archaeorhizomyces",1
"38","#BE68F4","Archaeorhizomyces",0
"39","#BA5FF4","Archaeorhizomyces",0
"40","#C77DF6","Archaeorhizomyces",0
"41","#FAF4FE","Archaeorhizomyces",0
"42","#E2BBFA","Archaeorhizomyces",0
"43","#FAF4FE","Arthrinium",1
"44","#F3E4FD","Arthrobotrys",0
"45","#B552F3","Articulospora",11
"46","#CA84F6","Aspergillus",0
"47","#B859F3","Aspergillus",0
"48","#F3E4FD","Aspergillus",1
"49","#FAF4FE","Bensingtonia",1
"50","#E0B6FA","Betamyces",5
"51","#E9CBFB","Betamyces",15
"52","#DBACF9","Bjerkandera",4
"53","#CA84F6","Blastobotrys",0
"54","#C577F5","Boothiomyces",0
"55","#BA5DF4","Bullera",0
"56","#B047F2","Bullera",0
"57","#E4C1FA","Byssochlamys",0
"58","#A52DF0","Cadophora",2
"59","#DDB0F9","Calcarisporiella",2
"60","#E6C4FB","Calcarisporiella",1
"61","#E9CBFB","Calcarisporiella",3
"62","#D59CF8","Calonectria",5
"63","#F3E4FD","Calvatia",0
"64","#D9A7F9","Calyptrozyma",3
"65","#C77CF6","Candida",0
"66","#DBAAF9","Candida",20
"67","#B85AF3","Capronia",0
"68","#F3E4FD","Capronia",2
"69","#D7A3F8","Ceratocystis",3
"70","#E9CBFB","Chaetomium",4
"71","#E6C4FB","Chaetomium",2
"72","#AD3FF2","Chaetomium",0
"73","#E9CBFB","Chaetosphaeria",1
"74","#CD89F7","Chaetosphaeria",0
"75","#FAF4FE","Chaetosphaeria",1
"76","#C67BF6","Chalara",8
"77","#E2BBFA","Chalara",4
"78","#AB3AF1","Chalara",0
"79","#D9A7F9","Chalara",0
"80","#C87EF6","Chalara",5
"81","#E9CBFB","Chlamydotubeufia",0
"82","#C475F5","Chloridium",0
"83","#D9A7F9","Chloridium",0
"84","#E2BBFA","Chloridium",4
"85","#E4C1FA","Chrysosporium",0
"86","#E6C4FB","Chrysosporium",0
"87","#F3E4FD","Cladophialophora",1
"88","#C981F6","Cladophialophora",0
"89","#A124F0","Cladophialophora",0
"90","#EFDBFC","Cladophialophora",0
"91","#D091F7","Cladophialophora",0
"92","#CD8BF7","Cladophialophora",0
"93","#F3E4FD","Cladophialophora",1
"94","#C578F5","Cladophialophora",0
"95","#EFDBFC","Cladophialophora",4
"96","#A936F1","Cladophialophora",0
"97","#CA84F6","Cladophialophora",0
"98","#D59CF8","Cladophialophora",0
"99","#CA84F6","Cladophialophora",0
"100","#AC3CF1","Cladophialophora",0
"101","#F3E4FD","Cladosporium",0
"102","#D7A3F8","Cladosporium",1
"103","#B758F3","Cladosporium",0
"104","#D398F8","Cladosporium",0
"105","#D7A3F8","Claroideoglomus",3
"106","#BD66F4","Clavaria",2
"107","#D7A3F8","Clonostachys",4
"108","#AF43F2","Clonostachys",0
"109","#C475F5","Codiunidentifiedeopsis",6
"110","#AA37F1","Colletotrichum",0
"111","#DDB0F9","Colletotrichum",0
"112","#D7A3F8","Colpoma",0
"113","#EFDBFC","Coniochaeta",4
"114","#AA38F1","Coniochaeta",20
"115","#C980F6","Coniochaeta",0
"116","#A630F1","Coniochaeta",0
"117","#D49AF8","Coniochaeta",0
"118","#A52CF0","Coniochaeta",20
"119","#AE40F2","Coniochaeta",20
"120","#DFB4FA","Coniochaeta",0
"121","#C26FF5","Coniochaeta",1
"122","#C16EF5","Coniochaeta",0
"123","#E0B6FA","Conlarium",4
"124","#B551F3","Conlarium",0
"125","#D9A7F9","Conlarium",2
"126","#B046F2","Conlarium",0
"127","#F3E4FD","Conlarium",0
"128","#B147F2","Conlarium",0
"129","#DFB4FA","Conlarium",3
"130","#CD89F7","Conlarium",0
"131","#BC63F4","Conlarium",0
"132","#D59CF8","Cryptococcus",3
"133","#F3E4FD","Cryptococcus",2
"134","#A935F1","Cryptococcus",0
"135","#E9CBFB","Cryptococcus",0
"136","#FAF4FE","Cryptococcus",2
"137","#BF6AF5","Cuniculitrema",2
"138","#C77CF6","Curvibasidium",0
"139","#E4C1FA","Curvularia",4
"140","#DFB4FA","Curvularia",15
"141","#CA82F6","Curvularia",3
"142","#D59CF8","Cyberlindnera",0
"143","#CF90F7","Cyphellophora",0
"144","#E6C4FB","Cyphellophora",1
"145","#EFDBFC","Cyphellophora",0
"146","#C980F6","Cystobasidium",3
"147","#C679F6","Cystofilobasidium",0
"148","#E9CBFB","Dactylaria",3
"149","#A42AF0","Delicatula",2
"150","#D7A3F8","Devriesia",4
"151","#D296F7","Diatractium",4
"152","#CA84F6","Diatractium",2
"153","#D7A2F8","Didymella",7
"154","#AC3CF1","Didymella",0
"155","#E9CBFB","Dioszegia",2
"156","#DDB0F9","Dioszegia",2
"157","#C16EF5","Dioszegia",0
"158","#C578F5","Dioszegia",0
"159","#D194F7","Diplogelasinospora",15
"160","#CA83F6","Drechslera",3
"161","#E2BBFA","Entoloma",1
"162","#D194F7","Entorrhiza",1
"163","#E0B6FA","Eucasphaeria",4
"164","#ECD3FC","Exidia",0
"165","#B95BF4","Exophiala",20
"166","#F3E4FD","Exophiala",15
"167","#DDB0F9","Exophiala",3
"168","#F3E4FD","Fellozyma",4
"169","#DBACF9","Filobasidiella",4
"170","#F3E4FD","Filobasidium",2
"171","#B24CF2","Filobasidium",2
"172","#C271F5","Filobasidium",0
"173","#E9CBFB","Filobasidium",0
"174","#CE8CF7","Filobasidium",6
"175","#A226F0","Fimetariella",20
"176","#A732F1","Fimetariella",0
"177","#AD3EF2","Fimetariella",20
"178","#F3E4FD","Fimetariella",1
"179","#ECD3FC","Flagelloscypha",0
"180","#D398F8","Fusarium",0
"181","#B44FF3","galerina",4
"182","#AD40F2","galerina",0
"183","#E2BBFA","Gloeophyllum",4
"184","#A834F1","Guehomyces",0
"185","#B34EF3","Gymnopilus",1
"186","#DFB4FA","Gymnopilus",0
"187","#DDB0F9","Helgardia",7
